relative_time,AccY,AccZ
0,-2.21630859375,3.9226531982421875
53,-2.2359161376953125,4.079559326171875
122,-2.275146484375,4.0599517822265625
188,-2.21630859375,
189,,4.09918212890625
255,-2.196685791015625,4.0599517822265625
322,-2.21630859375,
323,,4.1384124755859375
389,-2.2359161376953125,4.15802001953125
456,-2.255523681640625,4.0599517822265625
523,-2.255523681640625,4.09918212890625
591,-2.275146484375,
592,,4.09918212890625
657,-2.2947540283203125,4.09918212890625
724,-2.275146484375,
725,,4.1187896728515625
792,-2.2947540283203125,4.1384124755859375
859,-2.2359161376953125,4.1384124755859375
927,-2.21630859375,4.21685791015625
1029,-2.2239227294921875,4.1700286865234375
1077,-2.266021728515625,4.1187896728515625
1128,-2.271209716796875,
1129,,4.1187896728515625
1228,-2.27001953125,4.1400299072265625
1278,-1.725311279296875,2.890106201171875
1328,0.036346435546875,
1329,,-0.0548095703125
1430,0.462432861328125,-0.590972900390625
1481,0.70330810546875,-0.64447021484375
1530,0.5729827880859375,-0.3574981689453125
1631,0.443328857421875,-0.374481201171875
1681,0.4287567138671875,0.05474853515625
1732,0.3768463134765625,0.0081787109375
1832,0.2379302978515625,0.2013092041015625
1886,0.2640838623046875,0.144195556640625
1935,0.1494140625,0.852783203125
2013,0.1569061279296875,0.2353668212890625
2084,0.129547119140625,0.2991790771484375
2135,0.11370849609375,0.341339111328125
2235,0.19354248046875,0.387115478515625
2285,0.2220611572265625,0.325714111328125
2338,0.2745819091796875,0.403778076171875
2436,0.3097381591796875,0.4133758544921875
2487,0.420989990234375,
2488,,0.1847991943359375
2537,0.4471588134765625,0.0275115966796875
2638,0.643096923828125,-0.1357269287109375
2688,0.781768798828125,-0.3461456298828125
2739,0.823760986328125,-0.5450286865234375
2839,0.7870941162109375,-0.688323974609375
2894,0.722137451171875,
2895,,-0.86993408203125
2940,0.5963287353515625,-0.68670654296875
3041,0.5413665771484375,-0.8461761474609375
3091,0.4994354248046875,-0.6900634765625
3142,0.3689727783203125,-0.5809173583984375
3248,0.316375732421875,-0.3723907470703125
3296,0.3334197998046875,-0.2263946533203125
3345,0.255157470703125,-0.16558837890625
3444,0.2013092041015625,0.1480255126953125
3494,0.2079620361328125,-0.15789794921875
3544,0.1295318603515625,-0.02801513671875
3645,0.164642333984375,-0.1806488037109375
3701,0.2157440185546875,0.15875244140625
3748,0.2157440185546875,0.07122802734375
3846,0.248260498046875,
3847,,0.4299468994140625
3897,0.3698883056640625,0.494476318359375
3947,0.458831787109375,
3948,,0.4001922607421875
4048,0.556884765625,0.4919586181640625
4098,0.626251220703125,0.3544158935546875
4151,0.6941986083984375,0.286468505859375
4250,0.757171630859375,-0.0232391357421875
4300,0.6969451904296875,-0.2586822509765625
4350,0.68646240234375,-0.39996337890625
4450,0.6488494873046875,
4451,,-0.52117919921875
4502,0.520416259765625,-0.69830322265625
4552,0.4316253662109375,-0.60418701171875
4652,0.303436279296875,-0.6572723388671875
4703,0.2353668212890625,
4704,,-0.8163299560546875
4753,0.251007080078125,
4754,,-0.5650482177734375
4854,0.168792724609375,-0.4912567138671875
4904,0.135894775390625,-0.5729522705078125
4954,0.141265869140625,-0.2909393310546875
5057,0.171356201171875,-0.51983642578125
5106,0.1463775634765625,
5107,,-0.2506866455078125
5156,0.2976531982421875,-0.329437255859375
5257,0.360748291015625,-0.126312255859375
5306,0.3936309814453125,
5307,,-0.3320465087890625
5356,0.3883056640625,
5357,,-0.05560302734375
5458,0.488616943359375,0.0392303466796875
5510,0.644500732421875,0.2034454345703125
5561,0.6709442138671875,0.3767547607421875
5661,0.711212158203125,0.38970947265625
5710,0.74530029296875,0.3361663818359375
5760,0.729644775390625,0.3255157470703125
5861,0.707611083984375,0.270965576171875
5911,0.5975189208984375,0.0355224609375
5963,0.57672119140625,-0.0744781494140625
6063,0.4918060302734375,-0.2627410888671875
6113,0.3635101318359375,-0.3594512939453125
6163,0.337371826171875,-0.427520751953125
6265,0.2224578857421875,-0.482574462890625
6314,0.1099395751953125,-0.4497222900390625
6364,0.14105224609375,-0.50201416015625
6465,0.14501953125,-0.509368896484375
6515,0.2052459716796875,-0.628173828125
6565,0.2157440185546875,-0.4707183837890625
6666,0.1476593017578125,-0.7086639404296875
6717,0.2157440185546875,-0.652740478515625
6767,0.3566131591796875,-0.4435577392578125
6869,0.4170074462890625,-0.5482330322265625
6919,0.4875640869140625,
6922,,-0.348052978515625
6968,0.68609619140625,-0.2589263916015625
7041,0.74530029296875,
7042,,-0.078460693359375
7102,0.62762451171875,
7103,,0.078460693359375
7170,0.7256927490234375,
7171,,0.176513671875
7237,0.6668548583984375,0.196136474609375
7306,0.6668548583984375,0.2942047119140625
7346,0.5883941650390625,0.3530426025390625
7372,0.6080169677734375,0.2745819091796875
7392,0.56878662109375,0.313812255859375
7411,0.5295562744140625,0.3334197998046875
7431,0.50994873046875,0.372650146484375
7452,0.490325927734375,0.2942047119140625
7471,0.39227294921875,
7472,,0.2353668212890625
7492,0.372650146484375,0.254974365234375
7512,0.3530426025390625,0.2157440185546875
7532,0.372650146484375,0.137298583984375
7552,0.372650146484375,0.176513671875
7572,0.3530426025390625,0.176513671875
7592,0.2942047119140625,0.137298583984375
7613,0.2942047119140625,0.0
7633,0.2353668212890625,-0.0392303466796875
7653,0.2353668212890625,0.0196075439453125
7673,0.254974365234375,0.0196075439453125
7694,0.2157440185546875,-0.11767578125
7713,0.2353668212890625,
7714,,-0.196136474609375
7733,0.2353668212890625,
7734,,-0.254974365234375
7754,0.2157440185546875,-0.2353668212890625
7775,0.2353668212890625,-0.176513671875
7794,0.196136474609375,-0.254974365234375
7814,0.176513671875,-0.254974365234375
7834,0.137298583984375,-0.254974365234375
7855,0.196136474609375,-0.254974365234375
7874,0.196136474609375,-0.2353668212890625
7894,0.2353668212890625,-0.2942047119140625
7914,0.2353668212890625,
7915,,-0.2942047119140625
7936,0.196136474609375,
7937,,-0.2353668212890625
7955,0.2353668212890625,
7956,,-0.3530426025390625
7975,0.2353668212890625,-0.372650146484375
7995,0.2353668212890625,-0.431488037109375
8017,0.2157440185546875,-0.39227294921875
8035,0.254974365234375,
8036,,-0.313812255859375
8055,0.2942047119140625,
8056,,-0.490325927734375
8076,0.2745819091796875,-0.45111083984375
8097,0.2157440185546875,-0.4707183837890625
8116,0.2157440185546875,-0.490325927734375
8136,0.2745819091796875,-0.490325927734375
8156,0.2942047119140625,-0.431488037109375
8176,0.2942047119140625,-0.431488037109375
8196,0.313812255859375,
8197,,-0.6668548583984375
8217,0.4118804931640625,-0.882598876953125
8237,0.3530426025390625,-0.5491790771484375
8257,0.3530426025390625,
8258,,-0.490325927734375
8278,0.4118804931640625,-0.823760986328125
8298,1.2356414794921875,1.1179656982421875
8317,1.7848052978515625,
8318,,3.6284637451171875
8338,2.333984375,4.09918212890625
8358,2.079010009765625,3.5696258544921875
8378,1.961334228515625,3.98150634765625
8398,1.4121551513671875,4.530670166015625
8418,0.68646240234375,3.02044677734375
8439,0.2745819091796875,2.21630859375
8459,0.137298583984375,3.07928466796875
8478,0.0,
8479,,3.216583251953125
8499,-0.372650146484375,3.157745361328125
8519,-0.5883941650390625,2.9223785400390625
8540,-0.45111083984375,
8541,,2.510498046875
8559,-0.313812255859375,2.84393310546875
8579,-0.2353668212890625,3.098907470703125
8599,-0.45111083984375,
8600,,3.4715576171875
8620,-0.9610443115234375,3.5892333984375
8640,-1.2552490234375,3.13812255859375
8660,-1.0983428955078125,3.3538818359375
8680,-1.000274658203125,3.334259033203125
8700,-0.9022064208984375,3.393096923828125
8720,-0.9022064208984375,3.4127197265625
8740,-1.059112548828125,
8741,,3.157745361328125
8772,-1.2944793701171875,
8773,,2.9420013427734375
8781,-1.451385498046875,2.530120849609375
8801,-1.4906158447265625,2.333984375
8822,-1.3729248046875,2.4908905029296875
8843,-1.3533172607421875,2.588958740234375
8862,-1.4121551513671875,2.4124298095703125
8881,-1.70635986328125,2.3732147216796875
8901,-1.94171142578125,
8902,,2.4124298095703125
8924,-1.961334228515625,2.4124298095703125
8942,-1.686737060546875,2.392822265625
8962,-1.5298309326171875,2.4320526123046875
8982,-1.5298309326171875,2.530120849609375
9004,-1.6671295166015625,2.392822265625
9023,-1.94171142578125,2.530120849609375
9045,-2.196685791015625,2.6281890869140625
9063,-2.255523681640625,2.78509521484375
9085,-2.21630859375,2.9420013427734375
9103,-1.9809417724609375,2.84393310546875
9123,-1.8632659912109375,2.706634521484375
9144,-1.7259674072265625,2.6085662841796875
9166,-1.6671295166015625,2.471282958984375
9184,-1.70635986328125,2.4908905029296875
9204,-1.8632659912109375,2.530120849609375
9224,-1.9221038818359375,2.6281890869140625
9244,-1.961334228515625,2.78509521484375
9267,-1.94171142578125,
9268,,2.78509521484375
9284,-1.9221038818359375,2.90277099609375
9305,-2.00054931640625,2.9420013427734375
9324,-2.0594024658203125,
9325,,2.9420013427734375
9346,-2.275146484375,3.0596771240234375
9365,-2.3535919189453125,
9366,,3.157745361328125
9385,-2.255523681640625,3.07928466796875
9405,-2.1182403564453125,3.157745361328125
9426,-1.8044281005859375,2.4320526123046875
9445,-1.627899169921875,2.1574554443359375
9466,-1.7455902099609375,2.4908905029296875
9486,-2.00054931640625,2.3732147216796875
9506,-2.0397796630859375,2.7458648681640625
